INFO	2025-09-16 09:16:37,187	[conftest.py:59]	/Users/jiayue.a.liu/.cache/selenium/chromedriver/mac-arm64/140.0.7339.82/chromedriver
INFO	2025-09-16 09:16:37,187	[conftest.py:60]	Chrome driver initialized with Selenium Manager
INFO	2025-09-16 09:16:41,702	[basepage.py:110]	Open the url:https://qa-transportation-management.logistics.rakuten.co.jp/portal#/login
INFO	2025-09-16 09:16:41,710	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:41,711	[basepage.py:326]	Locator-value ://input[@data-testid='login-organizationId-input']
INFO	2025-09-16 09:16:41,724	[basepage.py:45]	Locate to the element: ('xpath', "//input[@data-testid='login-organizationId-input']")
INFO	2025-09-16 09:16:41,846	[basepage.py:154]	Input text: 9999999999
INFO	2025-09-16 09:16:41,846	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:41,846	[basepage.py:326]	Locator-value ://input[@data-testid='login-userId-input']
INFO	2025-09-16 09:16:41,857	[basepage.py:45]	Locate to the element: ('xpath', "//input[@data-testid='login-userId-input']")
INFO	2025-09-16 09:16:41,936	[basepage.py:154]	Input text: autoadmin
INFO	2025-09-16 09:16:41,936	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:41,936	[basepage.py:326]	Locator-value ://input[@data-testid='login-password-input']
INFO	2025-09-16 09:16:41,947	[basepage.py:45]	Locate to the element: ('xpath', "//input[@data-testid='login-password-input']")
INFO	2025-09-16 09:16:42,006	[basepage.py:154]	Input text: 98765
INFO	2025-09-16 09:16:42,006	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:42,006	[basepage.py:326]	Locator-value ://button[@data-testid='login-login-button']
INFO	2025-09-16 09:16:42,031	[basepage.py:80]	Click element by selenium: ('xpath', "//button[@data-testid='login-login-button']")
INFO	2025-09-16 09:16:42,031	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:42,031	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:44,101	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:44,102	[basepage.py:326]	Locator-value ://button[./*[@data-testid='menu-card-title']]
INFO	2025-09-16 09:16:44,138	[basepage.py:80]	Click element by selenium: ('xpath', "//button[./*[@data-testid='menu-card-title']]")
INFO	2025-09-16 09:16:44,138	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:44,138	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:47,734	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:47,734	[basepage.py:326]	Locator-value ://button[contains(@class,'Sidebar')]
INFO	2025-09-16 09:16:47,930	[basepage.py:80]	Click element by selenium: ('xpath', "//button[contains(@class,'Sidebar')]")
INFO	2025-09-16 09:16:47,930	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:47,930	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:49,113	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:49,114	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:50,136	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:50,137	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:52,153	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:52,153	[basepage.py:326]	Locator-value ://h6[contains(@class,'Sidebar') and (.='Trunk Overview' or .='便一覧')]
INFO	2025-09-16 09:16:52,222	[basepage.py:80]	Click element by selenium: ('xpath', "//h6[contains(@class,'Sidebar') and (.='Trunk Overview' or .='便一覧')]")
INFO	2025-09-16 09:16:52,222	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:52,222	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:55,131	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:55,132	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:57,157	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:57,157	[basepage.py:326]	Locator-value ://button[contains(@class,'Sidebar')]
INFO	2025-09-16 09:16:57,182	[basepage.py:80]	Click element by selenium: ('xpath', "//button[contains(@class,'Sidebar')]")
INFO	2025-09-16 09:16:57,182	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:57,182	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
INFO	2025-09-16 09:16:59,201	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:59,201	[basepage.py:326]	Locator-value ://input[@id='organization']
INFO	2025-09-16 09:16:59,214	[basepage.py:45]	Locate to the element: ('xpath', "//input[@id='organization']")
INFO	2025-09-16 09:16:59,280	[basepage.py:154]	Input text: 流山
INFO	2025-09-16 09:16:59,280	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:59,280	[basepage.py:326]	Locator-value ://input[@id='organization']
INFO	2025-09-16 09:16:59,289	[basepage.py:45]	Locate to the element: ('xpath', "//input[@id='organization']")
INFO	2025-09-16 09:16:59,297	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:59,297	[basepage.py:326]	Locator-value ://input[@id='organization']
INFO	2025-09-16 09:16:59,308	[basepage.py:45]	Locate to the element: ('xpath', "//input[@id='organization']")
INFO	2025-09-16 09:16:59,503	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:16:59,503	[basepage.py:326]	Locator-value ://div[@data-testid='-text-field']//input
INFO	2025-09-16 09:16:59,518	[basepage.py:45]	Locate to the element: ('xpath', "//div[@data-testid='-text-field']//input")
INFO	2025-09-16 09:17:01,523	[basepage.py:154]	Input text: at@TO_ir
INFO	2025-09-16 09:17:01,523	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:17:01,523	[basepage.py:326]	Locator-value ://div[contains(@class,'SearchCondition')]//button[contains(@class,'MuiButton')]
INFO	2025-09-16 09:17:01,714	[basepage.py:80]	Click element by selenium: ('xpath', "//div[contains(@class,'SearchCondition')]//button[contains(@class,'MuiButton')]")
INFO	2025-09-16 09:17:01,714	[basepage.py:325]	Locator-method :xpath
INFO	2025-09-16 09:17:01,714	[basepage.py:326]	Locator-value ://div[contains(@class,'CircularProgress')]
